original_title,overview,year,genre
From Noon Till Three,"Le voleur de banque Graham Dorsey passe quelques heures avec la belle veuve Amanda Starbuck, à laquelle son gang participe à un holdup désastreux.Apprenant la disparition de ses camarades, Dorsey va sur le Lam.Croyant que son amant à court terme a été tué par la loi, Amanda décide de tirer le meilleur parti de la liaison avec le desperado prétendument décédé en écrivant un livre à son sujet.À sa grande confusion, le Dorsey qui vit encore vivant comme son nom devenir légendaire.",1976,Western
The Great Northfield Minnesota Raid,"Les gangs de Jesse James et Cole Younger unissent leurs forces pour voler la première banque nationale à Northfield, Minnesota, mais les choses ne se déroulent pas comme prévu.",1972,Western
Hopeless Romantic,"Matt Matt (Brandon W. Jones) désespéré décide qu'il est temps de poser la grande question à sa petite amie, Alexis (Cassi Thomson).Avant la grande soirée, il pratique sa proposition sur son meilleur ami, Liz (Christa B. Allen).Matt pense que s'il suit les règles de toutes ses comédies romantiques préférées, il a garanti un «oui!»À la consternation de Matt, Alexis le rejette doucement en déclarant qu'il est seulement intéressé par l'idée d'être amoureux et non une vraie relation.Après cette catastrophe inattendue, Matt Binge regarde une rom-com après l'autre et propose un plan pour reconquérir Alexis.Bien que Liz pense que le plan de Matt est absurde, elle accepte d'être son ailier.L'opération pour raviver sa relation semble ne fonctionner que pour que Matt affronte la réalité que lui et Alexis ont peut-être éclaté et que son cœur appartient ailleurs.",2016,Romance
Nude Area,"Naomi, une fille néerlandaise de quinze ans de South-Amsterdam, développe un béguin pour une belle fille arabe du même âge vivant dans les pauvres quartiers d'Amsterdam West.Au cours d'un été magique à Amsterdam, les deux filles jouent un jeu d'échecs émotionnel d'amour, de séduction et d'attraction.",2014,Romance
Buckskin Frontier,Un chemin de fer et le propriétaire d'une bataille de ligne de marchandises pour le contrôle d'un col crucial de montagne.,1943,Western
A Wish for Christmas,"Sara Shaw est le type de femme qui préfère s'asseoir sur la touche au travail, mais quand sa grande idée pour une initiative de Noël est volée, elle fait un souhait au Père Noël qu'elle aura enfin le courage de se défendre.Le Père Noël répond à son souhait, mais ne lui donne que 48 heures.Alors que l'horloge coche, Sara découvrira comment canaliser la magie de Noël et parler son esprit tout seul.",2016,Romance
Lone Wolf McQuade,"Le Renegade archétypique du Texas Ranger fait la guerre à une cheville ouvrière de drogue avec des armes automatiques, ses esprits et ses arts martiaux après une bataille d'armes à feu qui a laissé son partenaire mort.Tout cela culmine inévitablement une confrontation en arts martiaux entre le Seigneur de la Drogue et le Ranger, et impliquant la femme qu'ils aiment tous les deux.",1983,Western
The Far Horizons,Les États-Unis viennent d'acquérir la Louisiane depuis la France.Une expédition dirigée par Lewis et Clark est envoyée pour étudier le territoire et aller là où aucun homme blanc n'est allé auparavant.Sont-ils capables de surmonter les dangers avec l'aide de Sacajawea?,1955,Western
The Villain Still Pursued Her,"Le mélodrame victorien obtient un gros envoi dans cette production de l'ancienne pièce de l'ancienne ""l'ivrogne; ou, les déchets sauvés"".La pièce dans le film est l'ancienne où le méchant méchant cribbs schémas pour obtenir ses griffes vigoureuses sur l'héroïne en conduisant son mari naïf à la ruine alcoolique.Heureusement, un professeur de tempérance est sur place pour mettre les choses à droite, tout comme le grand Buster Keaton en tant que frère de l'ivrogne.",1940,Romance
Love's Everlasting Courage,"Clark Davis a du mal à maintenir ses terres et à soutenir sa famille pendant une longue sécheresse.Avec un prêt bancaire à rembourser, sa femme, Ellen, prend un emploi en ville en tant que couturière, mais tombe rapidement malade avec la fièvre écarlate.Dévasté de perdre sa femme bien-aimée, Clark et sa jeune fille Missie se tournent vers ses parents Irene et Lloyd pour leur soutien.Clark doit trouver un moyen de sauver sa ferme et de survivre à la mort d'Ellen sans perdre la personne qu'il aime le plus: sa fille.",2011,Western
Raw Edge,Un Texan arrive dans l'Oregon et cherche justice à son frère innocente,1956,Western
The Ice Princess,"C'est une autre variation de l'histoire de Cendrillon: la brillante et belle Ella vit dans la maison d'un seigneur depuis la mort de sa mère.Elle est mécontente parce que les filles du Seigneur la traitent comme leur serviteur.Le pays est en problème, car le prince est un rêveur et ne se rend pas compte que son chancelier abuse de son pouvoir.Lorsque la journée approche, le prince est forcé par la loi de trouver une femme, une célébration sur un lac gelé est organisée.Ella parvient à patiner sur le lac pour lui aussi, cachant son identité.Le prince tombe amoureux d'elle, alors il essaie de la trouver.Son chancelier tente de les gêner, car il connaît les pensées critiques d'Ella.",1996,Romance
The Rainmaker,"Lizzie Curry est sur le point de devenir une vieille femme de chambre sans espoir.Son esprit, son intelligence et ses compétences en tant qu'aumeure ne peuvent pas compenser le fait qu'elle est tout simplement simple!Même le shérif de la ville, dépose, pour qui elle abrite un yen secret, ne prendra aucune chance --- jusqu'à ce que la ville subisse une sécheresse et dans la vie de Lizzie et de ses frères et père vient un Bill Starbuck ... Profession:Faiseur de pluie!",1956,Western
Crazy Eyes,"Zack (Haas) est un jeune père divorcé qui commence à développer des sentiments romantiques envers son amie Rebecca (Zima), qu'il appelle des ""yeux fous"".Il passe beaucoup de temps dans un bar dirigé par son meilleur ami Dan Drake (Busey) et traînant avec l'automne (Raymonde).Alors qu'il poursuit une relation sexuelle avec Rebecca, Zack devient de plus en plus conscient de l'importance du rôle de son fils dans sa vie au milieu de la santé défaillante de son propre père.",2012,Romance
The Man Who Came Back,"Encadré pour meurtre et laissé pour mort, une légende locale revient pour faire le paiement coupable alors qu'il cherche à se venger de ceux qui ont tué sa famille, dans cet occidental traditionnel à propos d'un homme qui s'est opposé à l'injustice.",2008,Western
The Castaway Cowboy,Cowboy Wayward Texas (James Garner) se lave sur les plages d'Hawaï et est ramené à la maison par un garçon sans père.Il sauve les affaires de la famille tout en romancant la maman célibataire (Vera Miles).,1974,Western
Future My Love,"Réalisé et raconté par Maja Borg, Future My Love est une histoire d'amour unique contestant nos utopies collectives et personnelles à la recherche de la liberté.",2012,Romance
Desamuduru,"Desamuduru (Telugu: దేశముదురు) est un film Telugu 2007, doublé en malayalam et tamoul en tant que héros: le vrai héros et hindi en tant qu'Ek Jwalamukhi.Le film a Allu Arjun et Hansika Motwani en tête.Le film a été réalisé par Puri Jagannadh.D.V.V.Danaiah a produit Desamuduru sous la bannière des médias universels.Le film est sorti le 12 janvier 2007 dans 400 théâtres",2007,Romance
The Indian Fighter,Un éclaireur menant un train de wagons à travers un pays indien hostile s'implique involontairement avec la fille d'un chef de Sioux,1955,Western
Celal ile Ceren,"Celal, qui rêve d'atteindre le bonheur en tant qu'homme et charmeur de dames, se lance bientôt dans des difficultés et souffre d'un malheur.À l'époque où Celal était en couple, il était jaloux de la vie d'un baccalauréat.",2013,Romance
Lost in Florence,"Eric Lazard est une ancienne star du football universitaire au cœur brisé qui s'implique dans un dangereux sport florentin et une femme locale, Stephanie, tout en visitant sa cousine Anna, qui vit en Italie et enseigne la langue italienne aux étrangers.",2017,Romance
ฟรีแลนซ์,Un pigiste travailleur dur qui tombe amoureux d'un médecin.Tandis que sa vie s'aggrave à chaque seconde.Il doit trouver le moyen de libérer sa vie au-delà de tout.,2015,Romance
Quel maledetto giorno della resa dei conti,"George Benton revient de l'école à la ferme de son frère Jonathan en tant que médecin et épouse son fiancé Lory, mais le bonheur ne dure pas longtemps.Les frères Fargas fournissent un bain de sang dans le ranch et sont capables de détourner les soupçons d'eux-mêmes sur un gang de hors-la-loi, mais l'une des familles a survécu au massacre et sait qui sont les vrais tueurs.",1971,Western
Just the Way You Are,"Lorsqu'un mariage d'un entremetteur professionnel perd son étincelle, elle cherche à recharger la relation en demandant à son mari à un rendez-vous aveugle.À l'approche de la fête des mères et que leur romance commence à raviver, elle se demande si son mari axé sur la carrière apprend enfin à mettre les besoins de sa famille avant son travail.",2015,Romance
Love Finds A Home,"Dans cette suite, Lillian a été adoptée et c'est plusieurs années plus tard.Annie, mariée et enceinte, rend visite à son collègue ami, le Dr Owen.Le Dr Owen veut désespérément un bébé, mais semble incapable de devenir enceinte.Lillian trouve un intérêt amoureux, assistante de son père adoptif, ce dernier est devenu assez surprotecteur.",2009,Western
Renegade,"Lors de ses voyages à travers le sud-ouest des États-Unis, avec sa Jeep CJ Renegade et son poulain de châtaigne nommé Joe Brown, Luke rencontre Matt, fils d'un de ses amis, Moose, qui est en prison.Moose demande à Luke de prendre soin de Matt et de l'aider à prendre possession d'un terrain.Alors commence leur voyage, plein d'aventures ...",1987,Western
Navajo Joe,Le seul survivant d'un massacre sanglant promet de se venger de ses agresseurs et des hommes qui ont tué sa femme.,1966,Western
The First Texan,"Après son arrivée au Texas pour échapper à un scandale dans l'est, l'avocat Sam Houston veut juste sortir son bardeau, garder un profil bas et rester en dehors de toute intrigue politique.Cependant, lorsque le président Jackson lui ordonne personnellement de mener la lutte pour l'indépendance texane, il surmonte sa réticence à s'impliquer et conduit ses compatriotes à une série de victoires sur l'armée mexicaine.",1956,Western
Surprised by Love,L'histoire d'une jeune femme d'affaires qui essaie de convaincre ses parents tendus d'accepter son petit ami actuel et se retrouve à tomber dans une vieille flamme de lycée.,2015,Romance
Winds of the Wasteland,L'arrivée du Telegraph a mis des coureurs Pony Express comme John Blair et son copain qui fume du travail.Une course décidera si le propriétaire ou le propriétaire de Stageline Drake obtient le contrat de courrier gouvernemental.,1936,Western
El siete machos,"Rosario, la nièce de l'éleveur, revient au ranch après dix ans d'absence.Elle accueille Margarito, une travailleuse du ranch, qui est immédiatement frappée par elle.Rosario est sauvé d'un cheval en fuite par les sept hommes, un hors-la-loi à la Robin Hood qui vole aux riches et donne aux pauvres.Il se trouve également être le frère jumeau de Margarito, à son insu.La confusion entre Margarito et les sept hommes génère de grandes situations comiques dans le film.",1951,Western
I'll Take You There,Une femme oblige un homme à aller de l'avant avec sa vie après que sa femme l'a largué.,1999,Romance
Il raggio infernale,"Danger Death Ray, le plus drôle des films d'espion ringard avec lesquels MST s'est amusé.L'ancien Tarzan Gordon Scott suce son instinct pour celui-ci.Le professeur Carmichael a développé un rayon de mort ""à des fins paisibles uniquement"", mais un vague groupe de méchants le veut à la place, il est donc kidnappé par des gars pâteux et emmené dans leur sous-jouet (via un hélicoptère jouet) Bart Fargo doit le sauver car il est leSeul American Spy qui a l'air bien dans les lunettes de soleil féminines.Cool Music l'accompagne alors qu'il cherche Carmichael alors qu'il doit faire face à Evil Abe Lincolns, à un méchant fey, un ami à l'écoute de Fargo et de quelques femmes avec lesquelles il doit coucher.En fin de compte, le méchant inefficace est tué, le professeur et le rayon de la mort sont secourus et Bart obtient la femme.Il y a aussi une scène complexe avec une montre lancée dans une piscine qui symbolise le temps qui a été perdu sur l'écriture d'écran intelligente pour le film.",1967,Romance
夏洛特烦恼,Un perdant d'âge moyen revient dans le temps dans ses années de lycée pour mettre sa vie sur la bonne voie.,2015,Romance
Arizona Raiders,"Murphy incarne un ex-Raider d'un Raider qui est libéré de prison avec Buddy Cooper pour être député en tant que Rangers de l'Arizona afin de traquer le reste du gang, il se cache dans une ville ""Neer Dee Border"" dans les mots du Loose-Danceur de salon taillé.Les hommes de main se trouvent dans une mission indienne.Murphy et Cooper font semblant de vouloir rejoindre le gang, mais les méchants s'assurent et battent brutalement Cooper, qui protège la mort de Murphy à la mort.",1965,Western
Preparati la bara!,"Un mystérieux combattant du pistolet nommé Django est employé par un patron politique tordonné local en tant que bourreau pour exécuter des habitants innocents encadrés par le patron, qui veut leur terrain.Ce que le patron ne sait pas, c'est que Django ne suspend pas du tout les hommes, donnant juste à ce qu'il soit, et en utilisant les hommes qu'il sauve de la potence pour construire son propre ""gang"" afin de se vengerLe patron, qui, avec l'ancien meilleur ami de Django, a causé la mort de sa femme des années auparavant.",1968,Western
Suburban Mayhem,"Pouvez-vous vraiment vous en sortir avec le meurtre?Bienvenue dans le monde de Katrina, une maman célibataire de 19 ans qui prévoit de faire exactement cela.Katrina vit dans un monde de délits petits, de voitures rapides, de manucures et de talons.Un maître manipulateur d'hommes vivant à la maison avec son père dans la banlieue de Golden Grove, Katrina ne s'arrête à rien pour obtenir ce qu'elle veut - même le meurtre.",2006,Romance
Apache Territory,"Logan Cates (Rory Calhoun) entreprend de sauver une femme blanche capturée par les Indiens d'Apache et d'empêcher une guerre.Sur le chemin, il est rejoint par quelques civils et une petite bande de soldats dans un trou d'eau.Ils sont pris en embuscade et assiégés par Apache.Alors que leur alimentation et leur approvisionnement en eau diminuent, une tempête arrive, ce qui permet à Cates de mettre un plan d'évasion en action.",1958,Western
A Man Called Sledge,"James Garner est Luther Sledge, le chef d'une meute de rebelles qui prévoient de voler une réserve d'or.Mais après que les voleurs parviennent à s'enfuir avec la prime, ils découvrent bientôt que l'ennemi se trouve au milieu d'eux.Alors qu'ils commencent à se chamailler sur qui devrait obtenir la plus grande coupe, la scène est prête pour une confrontation mortelle.Claude Akins et John Marley co-star dans cet Occidental italien réalisé par Vic Morrow.",1970,Western
Posse,"Un maréchal dur avec des ambitions politiques conduit un groupe d'élite à capturer un criminel notoire.Il réussit, mais au lieu de l'encourager, le public se retourne contre lui.",1975,Western
Bone Tomahawk,"Lors d'une fusillade dans un salon, le shérif Hunt blesse un inconnu suspect.L'un des villageois prend soin de lui en prison.Un jour, ils disparaissent tous les deux - seule la lance d'une tribu cannibale est trouvée.Hunt et quelques-uns de ses hommes partent à la recherche du prisonnier et de son infirmière.",2015,Western
Cat Ballou,"Une femme cherchant à se venger de son père assassiné engage un célèbre armé, mais il est très différent de ce qu'elle attend.",1965,Western
Lo chiamavano Trinità...,"L'histoire simple a le couple à la rescousse des mormons qui aiment la paix lorsque le major de terre Harriman envoie ses intimidateurs pour les harceler pour abandonner leur vallée fertile.Trinity et Bambino parviennent à sauver les mormons et à envoyer les méchants emballés avec de l'humour slapstick au lieu d'une violence excessive, sauvant la journée.",1970,Western
Bitter Creek,"""Wild"" Bill Elliott est un cow-boy qui part à la recherche de l'homme qui a tué son frère et se retrouve dans la petite ville de Bitter Creek.",1954,Western
Gun Glory,Un ex-gunslinger (Stewart Granger) évité par Townsfolk est le seul à savoir comment arrêter un hattleman impitoyable.,1957,Western
Pirates of the Prairie,"Dans l'un de ses meilleurs occidentaux, Tim Holt, en tant que maréchal adjoint Larry Durant, est envoyé à Spencerville où un gang de justiciers a terrorisé les citoyens.En tant qu'intermédiaire en tant qu'armée, Larry apprend rapidement que le chef des vigilants, John Spencer (John Elliott), est un homme honnête qui ne cherche qu'à établir la loi et l'ordre.Les véritables cerveaux derrière les crimes, quant à eux, se révèlent être le beau-frère de Spencer, Lou Harmon (Roy Barcroft), et son chef de main, Leighton (Charles King), qui spéculent dans la venue du chemin de fer en forçant les citadinspour abandonner leur terre.",1942,Western
Naked Gun,"Don Pablo Salazar vole une fortune dans les bijoux d'une tribu indienne et un médecine aztèque met une malédiction sur les bijoux jusqu'à leur retour.Des années plus tard, un assurance américaine promet de livrer la fortune de Salazar à l'héritier légitime ...",1956,Western
California,"""Wicked"" Lily Bishop rejoint un train de wagons en Californie, dirigé par Michael Fabian et Johnny Trumbo, mais la nouvelle de la ruée vers l'or disperse le train.Lorsque Johnny et Michael arrivent enfin, Lily est riche de son salon et de son commerçant (ancien esclavier) Pharaon Cercer saigne les mineurs secs.Mais de pire problèmes sont en avance: la Californie monte vers l'État, et certaines personnes veulent en faire leur empire privé.",1947,Western
¡Mátalo!,"Un gang de voleurs de bétail sauve un criminel de la potence, puis volez plus tard une diligence chargée d'or.Quand ils obtiennent le butin, il est trahi et laissé mourir au milieu du désert.Dans l'évasion, ils atteignent une mystérieuse ville fantôme, où ils perçoivent qu'il y a quelque chose d'étrange ...",1970,Western
Eega,"Sudeep est un industriel de haut niveau qui obtient ce qu'il veut et il a un œil spécial pour les belles femmes.Pour les obtenir, il n'hésitera pas à faire quoi que ce soit.Ce désir est déclenché lorsque Sudeep voit Bindu, un micro-artiste qui dirige une organisation à but non lucratif.Cependant, Bindu est aimé par Nani qui continue de la suivre partout.Bien que Bindu l'aime, elle ne lui exprime pas et aime l'attention.L'histoire prend un tour lorsque Sudeep découvre les sentiments de Bindu pour Nani et n'est pas en mesure de digérer sa défaite.Il tue Nani.Mais Nani est né de nouveau en tant que «eega» (mouche) et il veut se venger de Sudeep.",2012,Romance
Un dollaro tra i denti,"À l'insu de personne d'autre que lui-même, l'étranger arrive dans une ville abandonnée où il est témoin du massacre des soldats mexicains par un gang dirigé par Aguila.L'étranger menace Aguila de le dénoncer s'il n'accepte pas de le laisser participer au vol d'une expédition d'or.Le plan est un succès mais lorsque l'étranger revendique son dû, il obtient un bon coup à la place.Cependant, l'étranger parvient à s'échapper avec l'or.Les bandits, qui veulent sa peau, le poursuivent.Mais l'étranger n'est pas du genre à se faire prendre si facilement ...",1967,Western
Лісова пісня. Мавка,"Mavka, une nymphe d'eau, aime Lukash, un jeune country.Leur bref bonheur se termine lorsque Lukash est obligé d'épouser la kilina mince.L'esprit de la forêt transforme Lukash en loup comme punition pour son infidélité.La force de l'amour de Mavka brise le sort, mais Kilina maudit la nymphe, la transformant en un saule pleureur.Cette histoire belle et tragique est basée sur une pièce écrite en 1912 par Lesya Ukrainka, poète ukrainien, écrivain et politique, civil et féminin, et comprend des personnages mythologiques tirés du folklore ukrainien.",1980,Romance
The Squaw Man,"Blamed pour le vol d'un fonds orphelin, le capitaine James Wynnegate s'enfuit vers l'ouest où il fait une nouvelle vie avec la femme indienne Nat-U-Rich",1914,Western
Before You Say 'I Do',"La fiancée de George Murray, Jane Gardner, obtient des pieds froids après avoir accepté sa bague, terrorisée par son premier mariage avec Doug, qui a triché ce jour-là avec leur coordinateur de mariage.Après un accident de voiture, George se retrouve 10 ans dans le passé, quelques jours avant la journée de Doug.",2009,Romance
Un amour de femme,"Jeanne assiste à la fête d'anniversaire d'un ami de son mari.Là, elle rencontre une danseuse nommée Marie et il y a une chimie instantanée entre eux.Jeanne tombe amoureuse de Marie et ils se lancent dans une affaire extraconjugale.La relation est terminée lorsque Jeanne dit à son mari et il la fait choisir entre eux.Puisqu'il y a un enfant impliqué, Jeanne décide d'abord de rester avec David.Plus tard, elle se rend compte de l'erreur qu'elle a commise.",2001,Romance
Friendly Persuasion,"L'histoire d'une famille de Quakers dans l'Indiana en 1862. Leur secte religieuse est fortement opposée à la violence et à la guerre.Il n'est pas facile pour eux de respecter les règles de leur religion dans la vie quotidienne, mais lorsque les troupes du Sud passent la zone, elles sont réelles.Devraient-ils se battre, malgré leur attitude paisible?",1956,Western
The Law and Jake Wade,"Jake Wade casse Hollister en prison pour rembourser une vieille dette, bien qu'il soit clair qu'il y a une hostilité assez profonde entre eux.Ils se séparent et Jake revient au travail de son maréchal de petite ville et à sa fiancée pour découvrir qu'il y a été suivi par Hollister.Il semble qu'ils soient une fois dans un gang ensemble et Jake sait où sont cachés le produit d'un titulaire de banque.Hollister et ses acolytes se rendent dans les collines, emportant le maréchal en trussed et sa future épouse kidnappée pour forcer le législateur à leur montrer où se trouve le butin.",1958,Western
Space Mutiny,"Un pilote est le seul espoir d'arrêter la mutinerie d'un vaisseau spatial par son équipe de sécurité, qui complote pour vendre l'équipage du navire dans l'esclavage.",1988,Romance
FREEDOM,"En 2041, l'humanité a créé sa première colonie spatiale sur la lune.Mais après un cataclysme bizarre a dévasté la civilisation humaine sur Terre, la République de la Lune a construit une mégalopole en forme de dôme connue sous le nom d'Eden.Maintenant, en l'an 2267, un garçon appelé Takeru passe son temps à s'engager dans des courses de volant contre les gangs de rue rivaux, ignorant qu'il est sur le point de se lancer dans le voyage de dénicher l'origine d'Eden.",2006,Romance
The Missouri Traveler,"Brandon Dewilde mène un long des acteurs de personnage de la distribution jouant Byron Turner, un émouvant de 15 ans de l'asile orphelin d'Eatondale à destination de la Floride pendant la période de la guerre avant le monde I.Il reçoit un tour dans la ville rurale du Missouri de Delphi avec un riche propriétaire terrestre Tobias Brown (Lee Marvin).Là, après un épisode sur la place de la ville impliquant la majeure partie de la population, il rencontre le journal croustillant, l'homme Doyle Magee (Gary Merrill).Ces deux hommes partagent un intérêt pour la jeunesse polie et mature;L'un montrant la gentillesse, l'autre presque toute la cruauté.Finalement, leur raisonnement devient clair pour le garçon.Dans le même temps, toute la ville de Delphi en vient non seulement à accepter Byron, mais à l'embrasser comme l'un des propres villes et son rêve de devenir agriculteur.Source: http://en.wikipedia.org/wiki/the_missouri_traveler",1958,Western
ボーイズ・オン・ザ・ラン,"Ce n'est pas souvent qu'une histoire de passage à l'âge adulte tourne autour d'un masturbateur chronique de 29 ans qui vit toujours avec sa mère, mais ce n'est qu'un exemple des nombreuses façons dont les garçons de Daisuke Miura en fuite sont rafraîchissants.Le film est basé sur un manga de Kengo Hanazawa qui a été à l'origine sérialisé dans les grands esprits de la bande dessinée de Shogakukan de 2005 à 2008, et bien que l'adaptation soit assez fidèle visuellement, le ton général a été modifié à la fois dans la façon dont les personnages se comportent et comment l'histoire est visuellementest présenté.",2010,Romance
Perfect on Paper,"La rédactrice en chef du livre de Portland, Natalie Holland, a choisi le mauvais gars - un autre sous-performant - encore une fois.Avec sa vie nulle part vite, elle accepte une offre d'emploi de l'éditeur et amie Avery Goldstein et déménage à Los Angeles.Femme de profondeur et de principe, Portland Chic Natalie est un poisson hors de l'eau à Los Angeles.Les choses ne font qu'empirer lorsqu'elle apprend qu'elle a été embauchée pour éditer le dernier roman romantique de l'auteur à succès Beverly Wilcox, une figure puissante, glamour et intimidante tout droit sorti de ""The Devil Wears Prada"".",2014,Romance
The Third Party,"Andi, une aspirante créatrice de mode, essaie de reconquérir son premier ex-ex-Beau, Max, un chirurgien.Andi pensait que son plan pour gagner le cœur de Max se déroulera bien, mais Max a trouvé un nouvel amour à un pédiatre gay nommé Christian.",2016,Romance
Στέλλα,"L'histoire d'une jeune femme sauvage qui ne veut pas compromettre et s'installer.Stella est une femme grecque agitée et rebelle qui joue avec des hommes et aime sa vie autant qu'elle le peut.Mais quand elle rencontre une jeune joueuse de football, les choses se mélangent.Elle l'aime mais elle aime aussi sa liberté.Il est donc temps qu'elle fasse un choix important.",1955,Romance
Borrowed Time,"Un shérif altéré revient aux restes d'un accident qu'il a passé une vie à essayer d'oublier.À chaque pas en avant, les souvenirs reviennent.Face à son erreur une fois de plus, il doit trouver la force de continuer.",2015,Western
Enamorada,"À l'époque de la révolution mexicaine, une guérilla et ses troupes prennent la ville conservatrice de Cholula, près de Mexico.Alors que les révolutionnaires maltraitent les richesses de la ville, Armendáriz tombe pour Beau et sauvage Beatriz Peñafiel, la fille de l'un des hommes les plus riches de la ville.",1946,Romance
Mastizaade,Deux célibataires féministes tombent amoureux des sœurs jumelles qui dirigent une clinique de dépendance sexuelle.,2016,Romance
Paperback Hero,"Jack Willis est un beau conducteur du road-grain avec un secret - il vient de devenir un romancier romantique le plus vendu.Cependant, étant un «homme de l'homme» dans les perspectives australiennes, pour éviter l'embarras, il a besoin d'un nom, d'un nom de femme - et il choisit celui de son meilleur ami, Ruby Vale.Il doit faire un jeu de jambes sophistiqué pour continuer la charade lorsque l'éditeur glamour de la ville, Ziggy, arrive dans Dusty Outback Lucktown pour signer «Ruby Vale» à un grand accord de livre.Ruby accepte d'aider Jack bien que ce soit également pour son propre gain - l'éditeur paiera son mariage à venir (avec Hamish, Jack's Buddy).Accompagné de Jack, Ruby se rend à Sydney pour rencontrer les médias, apparaît à la télévision et aux cocktails, etc. progressivement, Jack se rend compte qu'il est tombé amoureux de Ruby, tandis que Ruby est également touchée par le roman de Jack.Cependant, Hamish arrive à Sydney quelques jours plus tard et demande aux deux d'arrêter toutes ces choses stupides",1999,Romance
Socha Na tha,"Un garçon qui a forcé de ""voir"" une fille avec laquelle il doit se marier.Mais la fille et le garçon suivent les contraintes qu'ils ont faites lors de leur première rencontre et, malheureusement, n'ont pas pu la suivre.",2005,Romance
Montana,"Un homme de mouton australien vient au Montana à la recherche d'un espace de pâturage, est opposé par des éleveurs locaux et une riche femme de bétail.",1950,Western
Living on Love,"Un homme et une femme, qui ne se sont jamais rencontrés, sont forcés par des circonstances à partager le même appartement.Un remake du film de 1933 ""Rafter Romance"".",1937,Romance
野玫瑰,Une fille de la campagne sauvage déménage à Shanghai avec son petit ami peintre et éprouve l'exploitation et la pauvreté.,1932,Romance
John Apple Jack,"Un Playboy apprend à aimer, tandis qu'une vierge apprend à vivre - une comédie romantique queer se déroulant à l'intérieur de l'industrie de la restauration ... 'John Apple Jack' rassemble l'est et l'ouest pour créer un plat somptueux.Lorsque John découvre que le fiancé de sa sœur est Jack, son écrasement d'enfance, les passions s'enfoncent et sa vie devient incontrôlable ... perdant son emploi, sa réputation de playboy et ses sous-vêtements, tout en se précipitant vers l'autel pour enfin confesser son amour!",2013,Romance
空中庭園,"Pour son quatrième long métrage complet, Toyoshi Toyoda a abandonné le thème du jeune homme en colère, examiné en profondeur dans Pornostar, Blue Spring et 9 Souls.Kuchu teien est, à première vue, plus un drame, une étude de personnage, qu'un film typique de genre Toyoda.Pourtant, dans ce film magnifiquement structuré et photographié, il se trouve une âme sombre.En apparence, l'histoire d'une famille heureuse, elle devient de plus en plus claire à mesure que le film progresse que les Kyobashis sont tout sauf.Malgré un accord familial qu'ils sont tous ouverts les uns avec les autres, toute la maison sait que le contraire est vrai.",2005,Romance
Ride Beyond Vengeance,"Jonas Trapp tombe amoureux de la belle Jessie, une fille riche de son humble classe.Contre les souhaits de sa tante snob, elle l'épouse, truquant plus tard une grossesse pour gagner le consentement de sa tante.Mais Jonas se lasse de vivre de la famille de sa femme, et finalement la déserte pour devenir un chasseur de buffles.11 ans plus tard, avec sa fortune autodidacte, il entreprend de rentrer chez lui, pour être fixé par trois maraudeurs sadiques, qui volent son argent et le laissent mort.Sauvé par un agriculteur qui le nourrit à la santé, Jonas devient consommé par le désir de vengeance.Comme le destin l'aurait fait, les trois hommes vivent près de l'ancienne maison de Jonas.Les choses empirent rapidement lorsque Jonas retrouve sa femme, seulement pour découvrir qu'elle est maintenant fiancée à Renne.",1966,Western
Les Aventuriers,"Deux aventuriers et meilleurs amis, Roland et Manu, sont les victimes d'une blague pratique qui coûte à Manu sa licence de pilote.Avec une contrition apparente, les blagues parlent à Roland et Manu d'un avion écrasé allongé sur le fond de l'océan au large du Congo farcis de richesse.Les aventuriers sont partis pour trouver le butin.",1967,Romance
大いなる幻影,"Dans un avenir proche où les allergies sont devenues une épidémie, le producteur de musique Haru sort sans enthousiasme le greffier du bureau de poste et le voleur de courrier Michi.Il cherche des moyens violents de réactiver sa vie, elle rêve de s'échapper à l'étranger;Les deux se portent volontaires pour tester un nouveau médicament qui peut fournir un remède.",1999,Romance
Cattle Queen of Montana,La Sierra Nevada Jones doit combattre un méchant éleveur pour regagner la terre qui lui appartient à juste titre.,1954,Western
Hiawatha,Un jeune Indien courageux tente d'apporter la paix à deux tribus en guerre.,1952,Western
The Shepherd of the Hills,"Le jeune Matt Masters, un Moonshiner des montagnes Ozark, déteste le père qu'il n'a jamais vu, qui a apparemment déserté la mère de Matt et l'a laissée mourir.Son obsession contribue à la haine rampante dans les montagnes.Cependant, l'arrivée d'un étranger, Daniel Howitt, commence à affecter positivement les gens des montagnes, qui apprennent à perdre leur haine sous sa douce influence",1941,Western
Historia Kina w Popielawach,"L'histoire est racontée par Staszek, dix ans, qui écrit dans son journal sur son ami de l'école.Jozef vient d'une famille de forgerons, qui portent tous le nom de Jozef.Puisqu'il est le sixième fils consécutif à s'appeler Jozef, il est surnommé Szustek (qui signifie ""sixième"").",1998,Romance
Shadowheart,"James Conners rentre à la maison dans la ville de Legend, au Nouveau-Mexique, en 1865, pour venger la mort de ses pères contre le Tunney impitoyable.En cours de route, il recapture son amour perdu depuis longtemps Mary Cooper.Avec la possibilité de prendre Will Tunney, il doit choisir la vengeance ou la rédemption.",2009,Western
